LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid_sd
SCH,9,Bath County,150,Valley Elementary,Elem,PK,7,English: Reading,Gr 3,English Reading,65,NA,37,15,NA,5,Valley Elementary Bath County,37.9730899,-79.852354,5100330
SCH,10,Bedford County,480,Bedford Elementary,Elem,2,5,English: Reading,Gr 3,English Reading,66,NA,51,14,NA,8,Bedford Elementary Bedford County,40.0321852,-78.5065024,NA
SCH,10,Bedford County,30,Big Island Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,73,NA,64,9,NA,8,Big Island Elementary Bedford County,37.5313265,-79.4161246,5100360
SCH,10,Bedford County,160,Boonsboro Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,80,NA,75,16,NA,14,Boonsboro Elementary Bedford County,37.4528392,-79.2609355,5100360
SCH,10,Bedford County,500,Forest Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,90,NA,91,27,NA,9,Forest Elementary Bedford County,37.37558,-79.307953,5100360
SCH,10,Bedford County,1214,Goodview Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,57,NA,53,8,NA,4,Goodview Elementary Bedford County,37.2627348,-79.7807514,5100360
SCH,10,Bedford County,980,Huddleston Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,65,NA,69,15,NA,0,Huddleston Elementary Bedford County,37.1634355,-79.4715122,5100360
SCH,10,Bedford County,970,Moneta Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,71,NA,80,21,NA,15,Moneta Elementary Bedford County,37.1857071,-79.6120289,5100360
SCH,10,Bedford County,180,Montvale Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,66,NA,48,14,NA,6,Montvale Elementary Bedford County,37.3757896,-79.7087631,5100360
SCH,10,Bedford County,610,New London Academy Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,88,NA,74,27,NA,17,New London Academy Elementary Bedford County,37.3069478,-79.3067252,5100360
SCH,10,Bedford County,1170,Otter River Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,86,NA,77,31,NA,13,Otter River Elementary Bedford County,37.3652473,-79.4336897,5100360
SCH,10,Bedford County,640,Stewartsville Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,80,NA,64,11,NA,9,Stewartsville Elementary Bedford County,37.2712147,-79.7904006,5100360
SCH,10,Bedford County,1213,Thomas Jefferson Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,78,NA,79,19,NA,13,Thomas Jefferson Elementary Bedford County,37.3565403,-79.2883564,5100360
SCH,11,Bland County,250,Bland County Elementary,Elem,PK,6,English: Reading,Gr 3,English Reading,81,NA,80,21,NA,5,Bland County Elementary Bland County,37.1032529,-81.1143357,5100390
SCH,12,Botetourt County,220,Breckinridge Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,77,NA,83,6,NA,13,Breckinridge Elementary Botetourt County,37.5024255,-79.8731777,5100420
SCH,12,Botetourt County,20,Buchanan Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,80,NA,77,11,NA,6,Buchanan Elementary Botetourt County,37.5122528,-79.7041015,5100420
SCH,12,Botetourt County,390,Cloverdale Elementary,Elem,KG,5,English: Reading,Gr 3,English Reading,91,NA,88,27,NA,33,Cloverdale Elementary Botetourt County,37.3627314,-79.9007285,5100420
SCH,12,Botetourt County,400,Colonial Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,83,NA,78,34,NA,7,Colonial Elementary Botetourt County,37.3577071,-79.8166298,5100420
SCH,12,Botetourt County,30,Eagle Rock Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,85,NA,67,15,NA,17,Eagle Rock Elementary Botetourt County,37.6567541,-79.8110738,5100420
SCH,12,Botetourt County,460,Greenfield Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,80,NA,75,23,NA,10,Greenfield Elementary Botetourt County,37.4290237,-79.9287109,5100420
SCH,12,Botetourt County,40,Troutville Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,76,NA,68,17,NA,11,Troutville Elementary Botetourt County,37.4414068,-79.847834,5100420
SCH,102,Bristol City,60,Highland View Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,56,NA,46,5,NA,0,Highland View Elementary Bristol City,36.6070348,-82.1640849,5100450
SCH,102,Bristol City,100,Joseph Van Pelt Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,77,NA,66,11,NA,10,Joseph Van Pelt Elementary Bristol City,36.6221804,-82.1391455,5100450
SCH,102,Bristol City,70,Stonewall Jackson Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,78,NA,59,14,NA,7,Stonewall Jackson Elementary Bristol City,36.597467,-82.2072386,5100450
SCH,102,Bristol City,90,Washington-Lee Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,94,NA,45,6,NA,0,Washington-Lee Elementary Bristol City,36.6109123,-82.1781045,5100450
SCH,13,Brunswick County,690,Meherrin Powellton Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,53,NA,53,9,NA,0,Meherrin Powellton Elementary Brunswick County,36.6689624,-77.7973271,5100480
SCH,13,Brunswick County,700,Red Oak-Sturgeon Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,32,NA,39,8,NA,7,Red Oak-Sturgeon Elementary Brunswick County,36.9067159,-77.8787081,5100480
SCH,13,Brunswick County,720,Totaro Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,47,NA,34,4,NA,5,Totaro Elementary Brunswick County,36.778717,-77.8716201,5100480
SCH,14,Buchanan County,90,Council Elementary/Middle,Elem,PK,7,English: Reading,Gr 3,English Reading,44,NA,75,6,NA,0,Council Elementary/Middle Buchanan County,37.0831551,-82.0821572,5100510
SCH,14,Buchanan County,120,Hurley Elementary/Middle,Elem,PK,7,English: Reading,Gr 3,English Reading,74,NA,56,12,NA,4,Hurley Elementary/Middle Buchanan County,37.384781,-82.000628,5100510
SCH,14,Buchanan County,1040,Riverview Elementary/Middle,Combined,PK,8,English: Reading,Gr 3,English Reading,61,NA,64,9,NA,3,Riverview Elementary/Middle Buchanan County,37.3088495,-82.1459733,5100510
SCH,14,Buchanan County,1041,Twin Valley Elementary/Middle,Elem,PK,7,English: Reading,Gr 3,English Reading,70,NA,72,13,NA,0,Twin Valley Elementary/Middle Buchanan County,37.2042551,-81.9745936,5100510
SCH,15,Buckingham County,724,Buckingham Co Elementary,Elem,3,5,English: Reading,Gr 3,English Reading,55,NA,42,8,NA,4,Buckingham Co Elementary Buckingham County,37.552965,-78.4837911,5100540
SCH,103,Buena Vista City,40,Enderly Heights Elementary,Elem,3,5,English: Reading,Gr 3,English Reading,64,NA,58,15,NA,3,Enderly Heights Elementary Buena Vista City,37.7141842,-79.3647657,5100560
SCH,16,Campbell County,560,Altavista Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,78,NA,63,20,NA,9,Altavista Elementary Campbell County,37.132267,-79.28312,5100600
SCH,16,Campbell County,650,Brookneal Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,76,NA,52,20,NA,9,Brookneal Elementary Campbell County,37.0521182,-78.9445011,5100600
SCH,16,Campbell County,130,Concord Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,66,NA,63,11,NA,6,Concord Elementary Campbell County,37.3359462,-78.9785228,5100600
SCH,16,Campbell County,690,Leesville Road Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,80,NA,73,21,NA,13,Leesville Road Elementary Campbell County,37.3277033,-79.2186685,5100600
SCH,16,Campbell County,821,Rustburg Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,65,NA,55,21,NA,9,Rustburg Elementary Campbell County,37.2687722,-79.1078654,5100600
SCH,16,Campbell County,60,Tomahawk Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,82,NA,62,20,NA,7,Tomahawk Elementary Campbell County,37.3440651,-79.2374496,5100600
SCH,16,Campbell County,710,Yellow Branch Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,66,NA,66,24,NA,10,Yellow Branch Elementary Campbell County,37.2524783,-79.1850191,5100600
SCH,17,Caroline County,620,Bowling Green Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,53,NA,38,11,NA,0,Bowling Green Elementary Caroline County,38.0236048,-77.3421282,5100660
SCH,17,Caroline County,9020,Lewis and Clark Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,76,NA,68,20,NA,9,Lewis and Clark Elementary Caroline County,38.0196166,-77.5314769,5100660
SCH,17,Caroline County,630,Madison Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,73,NA,37,22,NA,1,Madison Elementary Caroline County,38.0266189,-77.4902162,5100660
SCH,18,Carroll County,1180,Fancy Gap Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,95,NA,89,14,NA,5,Fancy Gap Elementary Carroll County,36.6899795,-80.6977233,5100690
SCH,18,Carroll County,1150,Gladesboro Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,69,NA,69,23,NA,0,Gladesboro Elementary Carroll County,36.687341,-80.6100959,5100690
SCH,18,Carroll County,1210,Gladeville Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,71,NA,71,5,NA,5,Gladeville Elementary Carroll County,36.6995177,-80.8783634,5100690
SCH,18,Carroll County,1170,Hillsville Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,76,NA,70,15,NA,9,Hillsville Elementary Carroll County,36.7678031,-80.734865,5100690
SCH,18,Carroll County,1160,Laurel Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,69,NA,78,15,NA,9,Laurel Elementary Carroll County,36.7972293,-80.8519905,5100690
SCH,18,Carroll County,1130,Oakland Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,79,NA,43,21,NA,9,Oakland Elementary Carroll County,36.6429023,-80.8379592,5100690
SCH,18,Carroll County,1110,St. Paul,Elem,PK,7,English: Reading,Gr 3,English Reading,66,NA,63,6,NA,2,St. Paul Carroll County,36.6045303,-80.6897811,5100690
SCH,19,Charles City County,80,Charles City County Elementary,Elem,PK,6,English: Reading,Gr 3,English Reading,67,NA,53,16,NA,13,Charles City County Elementary Charles City County,37.3474988,-77.076273,5100720
