"geoid","year","NAME","measure","region_type","value"
51059480205,2021,"Census Tract 4802.05, Fairfax County, Virginia","average_years_schooling","tract",16.5087784833769
51059480301,2021,"Census Tract 4803.01, Fairfax County, Virginia","average_years_schooling","tract",16.6890806904858
51059480302,2021,"Census Tract 4803.02, Fairfax County, Virginia","average_years_schooling","tract",16.4221142520613
51059480401,2021,"Census Tract 4804.01, Fairfax County, Virginia","average_years_schooling","tract",16.8070818070818
51059480402,2021,"Census Tract 4804.02, Fairfax County, Virginia","average_years_schooling","tract",16.6548783546526
51059480501,2021,"Census Tract 4805.01, Fairfax County, Virginia","average_years_schooling","tract",15.9275921165381
51059480502,2021,"Census Tract 4805.02, Fairfax County, Virginia","average_years_schooling","tract",15.7845117845118
51059480503,2021,"Census Tract 4805.03, Fairfax County, Virginia","average_years_schooling","tract",16.0285104732351
51059480504,2021,"Census Tract 4805.04, Fairfax County, Virginia","average_years_schooling","tract",15.9828815977175
51059480505,2021,"Census Tract 4805.05, Fairfax County, Virginia","average_years_schooling","tract",16.3307240704501
51059480801,2021,"Census Tract 4808.01, Fairfax County, Virginia","average_years_schooling","tract",13.537768327258
51059480802,2021,"Census Tract 4808.02, Fairfax County, Virginia","average_years_schooling","tract",15.7717391304348
51059480901,2021,"Census Tract 4809.01, Fairfax County, Virginia","average_years_schooling","tract",13.8999584026622
51059480902,2021,"Census Tract 4809.02, Fairfax County, Virginia","average_years_schooling","tract",14.007276843467
51059480903,2021,"Census Tract 4809.03, Fairfax County, Virginia","average_years_schooling","tract",14.1032677664975
51059481000,2021,"Census Tract 4810, Fairfax County, Virginia","average_years_schooling","tract",14.0397540983607
51059481101,2021,"Census Tract 4811.01, Fairfax County, Virginia","average_years_schooling","tract",16.0048611111111
51059481102,2021,"Census Tract 4811.02, Fairfax County, Virginia","average_years_schooling","tract",16.1431645150612
51059481103,2021,"Census Tract 4811.03, Fairfax County, Virginia","average_years_schooling","tract",14.8453719723183
51059481104,2021,"Census Tract 4811.04, Fairfax County, Virginia","average_years_schooling","tract",15.5067731011127
51059481105,2021,"Census Tract 4811.05, Fairfax County, Virginia","average_years_schooling","tract",16.5190316260845
51059481106,2021,"Census Tract 4811.06, Fairfax County, Virginia","average_years_schooling","tract",16.0485687470671
